token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44,mu_45,mu_46,mu_47,mu_48,mu_49,mu_50,mu_51,mu_52,mu_53,mu_54,mu_55,mu_56,mu_57,mu_58,mu_59
10,punct,-1.4105355,-0.60670155,-1.3158488,0.5929697,1.0023736,0.136457,0.22125761,-1.6572751,1.8188093,-0.7325134,0.5917532,0.44462296,-0.2780434,-0.4057413,0.13549516,1.6457629,0.56849223,0.45520344,-2.1835456,0.04062092,-1.5578557,0.9527149,-0.15175328,0.5443033,-0.78989846,0.9248985,2.5146346,0.7377256,-0.65711516,-1.079507,-0.44478235,1.8927629,0.25024617,1.8478765,0.24259886,-0.30035612,0.48584157,-0.21602462,-0.6041455,0.7764837,-1.0282097,1.0424113,1.0811951,-1.010986,-1.479371,-0.27279618,0.7679684,0.5400201,1.1617507,-0.017436832,-1.1802968,0.70350045,0.30982333,0.15346298,1.4931574,-0.82039046,-0.53337103,-0.4606162,0.059243634,-1.3311607
11,punct,0.1222674,0.49961352,0.053044654,0.14695992,0.0019426945,-0.056135304,0.08930465,-0.026691021,0.1445546,-0.044169795,0.022663327,0.37277365,-0.06894203,-0.016514825,0.024240883,0.0023213408,0.45439926,-0.0466424,-0.005757774,-0.017108612,0.18282633,-0.02317349,-0.13830556,-0.11204302,0.1360275,-0.21646763,-0.039848827,-0.037585206,0.09117182,-0.053534213,-0.09902148,-0.29703233,0.0035384586,0.007399161,-0.20845102,0.0631763,0.043527134,-0.4771823,-0.104815915,0.019920789,-0.04664935,-0.03700282,0.034944344,-0.0580961,-0.005545729,0.08365225,0.090927884,0.0041537667,-0.0840585,-0.1864372,0.055023104,0.014726107,0.1085282,-0.41972503,0.37385875,-0.26034582,-0.0834988,0.0020361017,0.017650459,-0.13497801
12,punct,-0.0075924136,0.0021781903,0.08625107,0.23088017,0.07654519,0.013133355,-0.025756283,-0.16774599,-0.031036818,0.026626093,-0.04142835,0.037092324,-0.08499352,-0.03013716,0.19490457,0.012776171,-0.12894955,0.051060818,0.02420617,0.090817265,0.05007378,-0.08350028,-0.0772532,-0.04583551,-0.02694915,-0.09908536,-0.08903124,0.1225155,-0.06361538,0.0970782,0.005700752,-0.3024075,-0.0064017014,-0.20469297,0.08783795,-0.024200918,-0.025033275,-0.25205755,0.007589973,0.21050142,0.03292448,0.021108741,-0.00035583694,-0.14308493,-0.07476895,-0.0060348394,-0.0064501683,-0.07766196,-0.058427844,0.11230318,-0.06884778,0.059173647,-0.014847308,0.19882801,0.19117099,-0.087147065,-0.205236,-0.023447642,0.02253092,0.053198546
13,punct,0.022567142,0.31378746,0.11301209,-0.09333932,0.11930065,0.036770348,-0.041338388,-0.111331515,-0.1937898,0.030506529,0.089645684,0.26234072,-0.17800137,0.011296309,-0.09881058,0.10028932,0.0014609427,0.050318938,-0.12034221,0.1372487,-0.06187341,0.06992896,0.07072988,-0.0669678,0.0034446747,-0.18287776,0.019397195,0.0055812444,0.13514882,0.12033737,0.00068114384,-0.13299096,-0.10019716,-0.06791476,-0.204791,0.12869368,-0.058207706,-0.14106022,0.083918005,-0.038106613,0.17612109,-0.055070907,0.068839416,0.008314055,-0.03648187,-0.0012688973,0.059305582,0.24178918,-0.18191724,-0.23833063,0.08460498,0.032563098,-0.0080887405,-0.09657779,0.23491865,-0.16448212,-0.20309472,0.09520005,-0.099605136,-0.02181761
14,punct,1.3379184,0.8819823,0.54193676,1.0659803,-1.184327,-0.25225395,-0.26987606,-0.3465544,0.29766837,0.6917314,0.40934762,-1.66444,-0.5433435,0.19203979,-2.291444,-0.17163822,-1.8922545,0.23817928,-1.402543,-0.62864196,1.8329273,0.12374706,-0.52222997,-0.25026456,1.2254668,-0.090903334,0.14903866,-0.317703,0.7357669,-0.07911917,-0.19793792,0.7874285,-0.54877007,-0.39596552,-2.1754854,1.3430071,0.6062097,0.32655987,0.109188624,-1.1854416,-1.3585409,-0.9348878,-0.5301512,-0.3424443,1.0070901,-2.253978,-1.0699706,0.038971283,0.36532852,-0.8109482,-0.02510599,-0.6769106,-0.046701323,1.021982,-1.1426096,-0.1364408,0.5994451,-2.0589368,-2.2850914,0.6627744
15,digit,-0.39281386,-0.2149033,0.17530671,0.031264596,0.04569984,-0.033544857,0.35261166,-0.06710517,-0.10229261,0.10387943,-0.14622942,0.099041626,-0.2837116,0.4844433,-0.09701477,-0.14200479,-0.011460048,0.02799193,0.1600505,-0.12483004,-0.0038894333,0.15087548,-0.046731118,-0.07479058,0.072065644,-0.53081816,0.21036665,0.20886004,0.21105328,0.2607314,0.2450466,0.058301043,-0.14526585,0.116678424,-0.23399669,0.20246598,-0.16567785,-0.027387911,0.55729896,0.062324133,0.21864878,0.086002305,0.11622023,-0.16269748,0.034330565,-0.21538655,-0.030368207,-0.12905341,-0.05260097,-0.15324397,-0.11046039,-0.06823549,0.15262341,-0.2954407,0.32360426,0.027629465,-0.4146997,-0.5004831,0.24904671,-0.034245133
16,digit,0.24496202,0.008707186,0.053395636,-0.1184714,-0.046942048,-0.115687534,-0.028711746,-0.04588021,0.09832845,0.09635866,0.07199176,0.06895551,-0.15548787,0.2124702,0.01906175,-0.21394733,0.02426006,0.14776486,0.07754131,0.050343327,-0.30508727,0.27391395,0.11067884,0.15296918,-0.034314755,-0.44673052,0.19250986,-0.096977495,0.22903933,0.08089455,-0.121584155,-0.14413886,0.08382132,0.09329437,-0.15244952,-0.037766002,0.2506804,0.12273561,0.13870008,0.17711303,0.0693504,-0.24715598,0.009400807,-0.16720015,0.073545344,-0.16925977,-0.017222578,-0.10893977,0.04617647,-0.1946488,0.066994816,0.058729503,-0.08822864,-0.032272782,0.23279689,-0.1712635,-0.083141826,-0.23275664,0.24970835,-0.0744443
17,digit,0.11002685,-0.005704481,0.10037816,-0.016283993,-0.21027172,-0.12742236,0.06267529,-0.14172211,0.08528572,0.09287593,0.025868818,0.11472135,-0.24776675,0.1842524,0.07230992,-0.15496029,0.09133636,0.018383715,-0.036985297,0.03701138,-0.09597706,0.052626334,0.14300281,0.0017785059,0.026659792,-0.070458606,0.08324302,0.08084395,0.16900831,-0.11736943,-0.20866162,-0.030195532,0.09347005,-0.30182305,0.021137832,0.09500259,0.0933987,0.2837629,0.407617,-0.10887859,0.21376745,-0.24600875,-0.15235253,-0.0784047,0.071291625,-0.17818932,0.10672606,0.03823204,0.14473423,-0.15248774,0.009891979,0.21421176,0.097658284,-0.06801281,0.025232017,-0.09634193,-0.21668965,-0.106860526,0.40541956,0.52092886
18,digit,-0.03188799,-0.16367589,0.025216188,-0.16597824,-0.13031146,-0.13838638,0.110118404,-0.37774238,-0.0038342103,0.10554345,0.0052426527,0.09740523,-0.120078936,0.15086502,0.039959047,-0.07983801,-0.12147857,0.1625452,-0.016684208,0.11912642,-0.119937606,0.5162664,0.35590264,-0.008584947,0.026390292,-0.1585532,0.2008333,0.19637658,-0.058802113,-0.12998302,-0.29586932,-0.07742039,0.18348466,0.21836545,0.06708733,0.04144161,0.023832984,0.2362873,0.03839625,-0.103257045,0.052701164,-0.31095886,-0.03530951,-0.07604297,0.058293797,-0.14541303,-0.17967029,0.06552352,-0.07305933,-0.17832938,-0.2040379,-0.02144277,0.021052852,-0.1286108,-0.09407967,0.05482362,0.010208865,-0.2398179,0.16586702,0.10862579
19,digit,-0.052433044,-0.009975473,0.16363245,0.12076119,-0.061929457,-0.018018527,-0.017886637,0.17220877,0.0753418,0.2383623,-0.11594594,0.28042382,-0.151894,0.15167737,0.051372442,-0.13370681,0.08867154,0.23591173,-0.079993874,0.13908775,-0.2883515,0.2197157,0.31149596,0.16311339,-0.04052025,-0.3775775,0.51455826,0.40282452,-0.1387193,0.002433225,-0.25205928,0.06687938,0.11325266,-0.31347385,0.13037051,-0.098908484,-0.04479876,0.23858131,0.299028,-0.24069038,0.4612389,-0.24871501,-0.20866947,-0.27317905,-0.12379686,-0.19698845,0.0005557845,0.055292696,0.07158821,0.042814,0.015758373,-0.27907,0.0050155655,-0.16510017,-0.12593827,-0.15386869,-0.13855928,-0.24199256,0.12470828,-0.025950387
20,digit,0.11565325,-0.029495617,0.05369013,0.07146594,-0.14404652,-0.029992938,0.031295948,-0.0359733,-0.039772112,0.062434874,0.048810273,0.317875,-0.24369188,0.26947913,0.070004225,-0.19506474,-0.03745772,0.06155007,0.11957696,0.059465796,-0.030468151,-0.117061876,0.20113184,-0.03156341,-0.14778164,-0.44753325,0.19879295,0.12556444,0.1192673,-0.06243734,-0.25108954,-0.0066142054,0.04347552,-0.1636555,-0.08401156,0.3752597,0.14376196,0.20204309,0.350893,-0.1738467,0.20835508,-0.12999599,-0.029847572,0.050085347,0.08523944,-0.23512305,-0.07394648,0.10390719,0.04375093,-0.07673416,-0.0059313728,-0.14397341,-0.043590005,-0.033056118,0.37455085,-0.13985695,-0.08324127,-0.08819795,0.085325055,0.04522102
21,digit,-0.048843842,0.034038115,0.13399026,0.0069743874,-0.23513001,-0.09880975,-0.088070534,-0.17561969,0.03887381,0.12952441,-0.0026942492,0.20161007,-0.13398954,0.2853455,-0.028894631,-0.18522507,0.10089332,0.030536117,0.13862833,0.026898727,-0.06416628,-0.10877073,0.29704767,-0.050319202,0.18336323,-0.27592456,0.21522011,0.13657252,-0.035384007,0.061790142,-0.348541,0.25390497,0.16877812,0.021276454,-0.075940974,0.23973142,0.3549061,-0.05412884,0.34314054,-0.21217014,0.122363016,0.025181841,-0.04829719,-0.061162196,0.017499538,-0.32545692,-0.058072474,0.047749747,0.13093734,-0.058936913,-0.12980483,-0.020027008,-0.019463306,-0.22369866,0.22626518,-0.14448999,-0.17830992,-0.30525488,0.16353635,-0.122541025
22,digit,0.18530212,0.11864742,0.08479706,0.11128576,-0.14097968,0.04477946,-0.11023176,-0.17317103,-0.07872817,0.06209804,0.11073622,-0.12931423,-0.39881688,0.38784936,0.018189987,-0.060595825,0.13799077,0.14998068,-0.032376345,0.22642331,-0.060896322,-0.11939487,0.1587343,-0.32014412,0.10867898,-0.44031113,0.18026029,0.2746798,0.24750353,0.017409844,-0.06694773,-0.05685219,0.028719215,-0.10684916,-0.120398596,0.30934238,0.035130873,-0.40533218,0.50420403,0.046089042,0.13044503,-0.14783601,-0.12600607,-0.07442122,-0.21730632,-0.24856621,-0.049971875,-0.035015773,-0.04708359,-0.17219776,-0.033379495,-0.07433412,0.13728635,-0.22143096,0.16786799,-0.071999595,0.13936044,-0.21030097,0.16726531,0.13120662
23,digit,0.034775164,0.100053206,0.056234237,-0.031956293,-0.21886264,-0.03671598,0.003912882,-0.067511,0.064041175,0.19800639,-0.011986593,0.26360187,-0.17334753,0.27053237,0.1717688,-0.05760188,0.13359272,-0.09738902,0.20790812,0.06321498,-0.2473794,-0.0715754,0.10763202,-0.03824612,0.19126457,-0.4336867,0.13751435,0.17521466,0.1886136,0.08852918,-0.13987628,-0.043750186,0.055350877,0.16837312,-0.06509874,0.309971,-0.040523645,-0.27691537,0.36683306,-0.09714805,0.09457856,-0.18349367,-0.19803807,-0.09255017,-0.03982025,-0.22819246,-0.14856224,0.19251245,0.07301272,-0.22129051,0.0102792345,-0.09127558,0.053669896,-0.26378876,0.33928755,-0.108568825,-0.47020572,-0.42648923,0.1407637,0.1141609
24,digit,-0.006180062,0.16068007,0.03525361,0.24876721,-0.042907022,-0.14865413,-0.026733434,0.012226953,0.078771085,0.061393544,0.21004768,0.17185138,-0.22071643,0.111731134,-0.05635892,0.036488663,0.32473698,0.11563757,0.22672372,0.10408276,0.13095708,-0.006669145,0.15214211,0.0010540512,-0.036427334,-0.48718855,0.18488443,0.180772,0.10845581,-0.00091937266,-0.15849839,0.058861993,0.17469642,0.03417461,-0.184443,-0.054343812,0.20440425,0.08990927,0.13577133,-0.05285206,-0.04154914,0.1494288,-0.09023788,0.060686823,-0.10985875,-0.20515005,0.00394001,0.020015053,0.008314051,-0.18115924,-0.22824243,-0.08837723,0.06737566,-0.33902487,-0.064771146,-0.17722455,0.07407864,-0.19691533,0.04061873,-0.01491501
25,punct,-1.1306015,0.75859785,-0.34728733,0.13805912,0.61153316,-0.62665087,-1.1228949,0.7422876,1.6046293,1.2598195,1.1740059,-0.29153785,1.2134173,1.127754,-0.1643157,1.3628583,-0.13960326,-0.5752051,-0.90419596,0.41627234,-0.5181504,0.014432808,-0.3011409,1.3896866,-1.542264,0.0024609282,-1.245015,-0.10391272,0.8658045,0.13117042,-1.9553801,-0.1872666,0.7101444,0.6958785,0.9121338,-0.8024783,1.0052805,2.2127926,-1.0516036,0.28504953,0.69340813,-0.3528165,0.9409316,-0.7125403,2.2972708,0.050785415,-0.32039317,0.7594935,0.77512246,0.011105951,-0.11339519,-1.5590568,0.73645735,-1.8450221,-1.2980262,-0.049533676,-1.9105527,-0.65097576,-0.9015406,-0.18936785
26,punct,-1.2174001,0.5359489,0.73474026,0.85709804,-0.17478721,1.0683174,-0.43744165,1.1071126,-0.30293104,0.045643065,-0.24512763,-1.2673887,1.0804839,-0.36050475,-0.056906343,-0.28930488,0.25494015,-1.3727357,0.74064726,0.17303263,0.3029577,2.204765,-0.559452,0.13415965,-0.47007424,-0.48172402,1.2480115,1.1334124,-0.20659897,-0.6449013,2.0487292,0.68142056,0.38119325,-0.021766763,-0.86378294,-0.5319235,1.1956292,-0.47553876,-0.3352707,0.4560885,-0.6622526,0.95514303,0.5565808,2.0627337,0.041792035,-0.2211813,-1.5386893,0.33103117,-2.1520422,-0.913992,-0.5849555,0.15824248,-0.7899125,0.49097955,-1.212333,-1.4180698,-1.3225313,1.0273851,2.1461432,-0.03955095
27,punct,-0.77754885,-0.54052764,0.7672334,-0.4773792,-1.0245074,-0.5155924,-1.0663376,0.87431586,-1.0957091,-0.14244483,-0.3975165,2.1890426,-1.9671975,-0.1544708,0.23309927,0.02894149,-1.0758945,0.08428194,-0.94087106,0.47264454,1.6331373,-0.4154098,-0.243539,0.5013985,0.09024501,0.7477641,-1.1113479,-0.017152129,-0.38571465,0.7773566,1.4085847,-1.146489,-0.15812014,-1.6644666,-0.58983517,1.0100906,0.2650646,0.9573816,1.577647,-0.3595249,-1.5831331,0.004238509,-0.14180753,-0.33981434,-0.6954332,0.41836825,-0.49565473,1.4429553,-0.9109532,0.102825694,-1.2482997,0.61914724,0.10872448,-1.4995073,0.2960193,-0.98621184,-0.26556948,0.111447334,0.97413087,-0.12687764
28,punct,1.0128999,1.8489094,0.29191732,-0.30294484,-1.2886536,1.3888811,0.18019481,-0.4980486,0.5926543,-0.8097826,0.38162935,0.11452839,0.03025066,-1.0508479,0.32751203,-1.1158019,-0.8589879,0.22519708,0.28584686,0.22082865,0.755891,-0.4094556,-1.249619,0.9132383,-0.65055144,-0.024931308,-0.7352282,2.237225,-0.15869705,1.2866491,0.08757527,-0.7673139,-1.1228344,-0.26854965,-2.0509155,-1.3562468,-0.13445532,0.8574122,0.3376688,-1.26231,0.9940734,-0.38705823,0.8667306,2.324409,0.961162,-1.1146055,0.13524237,-1.792053,-0.5020721,0.74116784,1.0544935,-0.8026221,3.2148936,1.403061,-0.3062157,-1.5632676,0.22999702,1.1315428,-0.13060018,-1.6502148
29,punct,-0.09815557,-0.0021156922,0.03812407,-0.23272005,-0.010663752,-0.19460045,-0.024396526,-0.027272068,-0.046723586,-0.024652481,0.0599244,0.045940336,0.06312412,0.080627695,-0.086405054,0.16344331,-0.009580372,0.43680084,0.07519823,0.25046802,0.132722,-0.027314303,0.28747764,-0.06310074,0.051395193,-1.0957766,0.105235875,-0.02758566,0.08283115,-0.1550018,-0.05537353,-0.158874,0.13077918,0.023140475,0.038311876,0.017623553,-0.052279413,-0.24423428,-0.0716657,-0.080196634,0.045443594,0.0749227,-0.12778087,-0.030037945,-0.05419755,-0.0022607553,-0.012280068,0.14622952,-0.032062616,0.047754925,0.11897312,0.11276081,0.019785134,0.25030836,0.036829147,0.22919433,0.07283702,0.029819848,0.06940182,0.09698918
30,punct,0.9659187,-0.41397795,1.4229665,0.92666125,0.7393782,-0.0845075,-0.49296355,1.2256835,0.082643,-1.4839046,-0.9140878,1.3259373,-0.023637682,-0.23444587,-1.1847507,0.17169642,-1.253782,0.20159362,-0.16082741,1.0840828,-1.6090988,0.90777844,-0.2741318,-0.7302021,-0.6918447,-1.070094,0.090163976,0.8230301,-0.08825591,-0.045525417,-1.3415312,1.4831276,1.3775688,-1.294424,-0.52623653,0.13071053,-1.4298767,1.4921224,0.73432386,-2.1090102,-0.64128613,1.0730889,-0.3378951,-2.402822,1.7191322,1.0327077,-0.28882948,1.6603675,-1.930548,0.2711138,-0.0094415145,0.18356644,-0.25358638,0.22060713,-1.2164273,-0.49657062,-0.6391225,0.9722204,-0.71374357,-1.1022259
31,punct,-0.012491116,0.90081966,0.30250922,-0.90855724,1.1529422,-0.25048617,0.7242865,-1.765274,1.9485062,-1.085852,-1.274941,-1.3124877,-1.5141265,-1.0084562,1.7838632,-1.0975257,1.3858153,0.28356516,0.54755455,1.2411369,-0.8462828,0.9421643,-1.6156981,-0.52889746,-1.4695516,-0.012481124,-2.194792,-1.1566485,1.647102,0.15601805,0.69076395,0.7996977,0.2226781,0.28730783,-1.4876146,-0.94131696,0.024348278,0.14365707,-0.72841406,1.9636889,0.63124925,0.8487266,0.7605877,-2.1296058,-0.33597645,0.05273503,0.8068518,-0.11601869,1.3424307,-2.6825647,-0.6136788,0.44094703,-0.5020391,-1.2479404,-0.16236015,0.7346181,-0.721919,-0.29425773,0.49380934,-0.4198153
32,letter,0.13626213,-0.022971073,-0.008928918,-0.06033661,0.16401586,-0.043810252,-0.06691266,-0.20949814,-0.025474032,-0.08061967,0.032902606,0.13069534,0.03766147,-0.0033350235,-0.13741173,0.03550943,-0.12890823,0.21487069,-0.06781836,0.032696936,-0.053839818,0.118796326,0.2654731,0.11297653,-0.15235944,-0.15064362,-0.0022904607,-0.024709558,0.28393596,-0.3575133,-0.13876134,-0.0053396295,0.09269868,-0.028660731,0.037554953,0.07056784,0.11419002,-0.06389246,0.1654783,-0.13770902,-0.049335085,-0.11396854,-0.011131967,0.026759442,-0.14392586,-0.04572018,0.063939705,-0.09896113,0.1488977,-0.13774641,-0.15465114,-0.0789107,-0.02972982,0.04080389,-0.38678414,0.3397957,0.13003995,-0.15182082,-0.00058561476,-0.06421237
33,letter,0.06581917,-0.096578,-0.21537043,-0.032203175,0.20892136,-0.05691783,0.056573734,-0.24962522,0.02881547,-0.24793999,0.1400209,-0.15348718,0.12831609,-0.032819822,0.19716269,0.1387867,-0.119881615,0.18813954,0.012613961,0.022078792,0.12137362,0.5824535,0.2717311,-0.26638114,-0.020997807,-0.15090808,-0.08714121,0.16547441,0.09471313,-0.15458485,-0.36682588,0.41380954,-0.027898911,-0.07075838,0.054791804,0.1200738,0.41111308,-0.09154097,0.15681738,-0.10973504,0.20054959,0.053837255,-0.017310943,0.062270436,-0.22299094,0.011130545,-0.040526375,-0.09398818,0.111034125,-0.120841764,-0.07092021,-0.22362636,-0.12983537,0.12015809,-0.18126334,0.20218769,-0.328599,0.06964707,0.20736548,-0.026409052
